"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.17676250322782,0.785,0.164,0,"0","MUC13"
0,3.31490157672648,0.544,0.104,0,"0","VSTM2L"
0,2.54082613759961,1,0.732,0,"0","TTR"
1.12109865238076e-305,2.63083787033296,0.814,0.355,1.77312962860541e-301,"0","PDK4"
3.59125381022796e-243,2.6866002401456,0.493,0.113,5.67992702625654e-239,"0","GRIA3"
4.18303919274895e-174,2.66551889513922,0.309,0.055,6.61589478725175e-170,"0","PPP2R2B"
1.83448338696431e-163,2.45064431556995,0.438,0.127,2.90141892482275e-159,"0","AP1S2"
5.21584497495421e-157,2.62795966443118,0.257,0.04,8.24938041238758e-153,"0","MRC1"
4.14940932943676e-155,2.35257800614349,0.354,0.083,6.56270579543718e-151,"0","FBLL1"
1.03473127659444e-146,2.26160090250292,0.343,0.081,1.63653098706177e-142,"0","TMEM45B"
0,4.03423307656185,0.777,0.183,0,"1","ADCYAP1"
0,2.74369321555004,1,0.867,0,"1","INS"
1.42754126309285e-283,2.73915617350782,0.699,0.19,2.25779926170765e-279,"1","IGF2"
4.36018326560397e-201,2.33619142043322,0.848,0.471,6.89606585287924e-197,"1","GAD2"
5.27891180802911e-154,2.02186416664844,0.475,0.137,8.34912691557884e-150,"1","TUBB2B"
9.39999342003719e-134,1.9259208453452,0.431,0.127,1.48670295931308e-129,"1","ENDOD1"
3.97795621935846e-126,2.06587815334739,0.514,0.193,6.29153555653733e-122,"1","SYNGR4"
2.13955545694624e-87,2.04074718308794,0.319,0.1,3.38392091070618e-83,"1","WDR25"
2.8342986918842e-78,1.997527184982,0.28,0.084,4.48272681108405e-74,"1","SAMD11"
4.38566868917017e-37,2.12162141627756,0.384,0.222,6.93637359879153e-33,"1","DDIT3"
0,7.77797528792473,0.953,0.036,0,"2","SYCN"
0,7.94085429220595,0.973,0.07,0,"2","CELA2A"
0,8.13029553165631,0.907,0.013,0,"2","PNLIPRP2"
0,7.97359447476643,0.994,0.12,0,"2","CLPS"
0,7.70507873947219,0.865,0.02,0,"2","GP2"
0,7.69199929944223,1,0.211,0,"2","CELA3A"
0,8.108146624759,0.776,0.01,0,"2","CELA2B"
0,7.73897544798914,0.768,0.009,0,"2","CTRL"
0,8.5319001417272,0.502,0.004,0,"2","AMY2A"
0,7.81492180495329,0.361,0.003,0,"2","AADAC"
0,6.52571158037455,0.738,0.015,0,"3","S100A14"
